using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
Time |10335217|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-34|SQ |-3|SR |-19|SAX |226|SPY |48|SAZ |14358|PHI |-360|THETA |158|PSI |612|Battery | 574|
Time |10436186|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-24|SQ |-1|SR |-16|SAX |242|SPY |20|SAZ |14388|PHI |-363|THETA |165|PSI |597|Battery | 602|
Time |10536201|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-7|SR |-17|SAX |236|SPY |52|SAZ |14354|PHI |-361|THETA |166|PSI |579|Battery | 560|
Time |10636684|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-33|SQ |6|SR |-17|SAX |242|SPY |20|SAZ |14360|PHI |-370|THETA |164|PSI |561|Battery | 574|
Time |10737160|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-3|SQ |16|SR |-16|SAX |240|SPY |14|SAZ |14346|PHI |-363|THETA |153|PSI |543|Battery | 581|
Time |10837691|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-22|SQ |-9|SR |-15|SAX |162|SPY |88|SAZ |14346|PHI |-347|THETA |142|PSI |527|Battery | 560|
Time |10938449|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-36|SQ |-12|SR |11|SAX |232|SPY |74|SAZ |14386|PHI |-361|THETA |166|PSI |517|Battery | 581|
Time |11039094|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-19|SQ |3|SR |-21|SAX |250|SPY |-4|SAZ |14366|PHI |-364|THETA |170|PSI |515|Battery | 581|
Time |11139179|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-11|SQ |11|SR |-17|SAX |218|SPY |64|SAZ |14384|PHI |-354|THETA |162|PSI |495|Battery | 560|
Time |11239690|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-12|SQ |8|SR |-18|SAX |224|SPY |80|SAZ |14332|PHI |-342|THETA |151|PSI |476|Battery | 574|
Time |11340188|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-27|SQ |-13|SR |-31|SAX |188|SPY |64|SAZ |14390|PHI |-337|THETA |161|PSI |442|Battery | 581|
Time |11440703|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-19|SQ |-4|SR |-20|SAX |242|SPY |70|SAZ |14370|PHI |-337|THETA |168|PSI |416|Battery | 560|
Time |11541733|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-17|SQ |1|SR |-17|SAX |206|SPY |74|SAZ |14342|PHI |-332|THETA |169|PSI |398|Battery | 574|
Time |11641749|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-4|SR |-17|SAX |208|SPY |96|SAZ |14364|PHI |-328|THETA |167|PSI |379|Battery | 581|
Time |11742181|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-30|SQ |-10|SR |-18|SAX |220|SPY |76|SAZ |14384|PHI |-334|THETA |172|PSI |360|Battery | 560|
Time |11842673|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-5|SR |-18|SAX |258|SPY |58|SAZ |14406|PHI |-339|THETA |179|PSI |342|Battery | 581|
Time |11943170|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-22|SQ |3|SR |-17|SAX |258|SPY |56|SAZ |14368|PHI |-339|THETA |179|PSI |323|Battery | 581|
Time |12043659|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-19|SQ |2|SR |-17|SAX |224|SPY |98|SAZ |14362|PHI |-334|THETA |169|PSI |304|Battery | 560|
Time |12144144|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |2|SR |-17|SAX |252|SPY |84|SAZ |14366|PHI |-335|THETA |171|PSI |286|Battery | 574|
Time |12245079|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-30|SQ |-12|SR |-20|SAX |224|SPY |34|SAZ |14372|PHI |-340|THETA |175|PSI |264|Battery | 581|
Time |12345135|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-21|SQ |0|SR |-18|SAX |226|SPY |84|SAZ |14398|PHI |-341|THETA |179|PSI |245|Battery | 560|
Time |12445650|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-22|SQ |-1|SR |-17|SAX |230|SPY |72|SAZ |14382|PHI |-337|THETA |178|PSI |227|Battery | 574|
Time |12546121|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-6|SR |-17|SAX |262|SPY |90|SAZ |14404|PHI |-337|THETA |183|PSI |209|Battery | 581|
Time |12646665|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-5|SR |-18|SAX |236|SPY |84|SAZ |14380|PHI |-339|THETA |184|PSI |189|Battery | 560|
Time |12747227|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-24|SQ |-1|SR |-17|SAX |244|SPY |100|SAZ |14408|PHI |-337|THETA |185|PSI |171|Battery | 574|
